,43762 coal,43763 nuclear,43764 coal,43764 lignite,43764 nuclear,43765 coal,43766 coal,43767 nuclear,43768 lignite,43769 coal,43769 nuclear,43771 nuclear,43773 coal,43773 lignite,43774 nuclear
0,8.878529770861533e-06,9.26775576922463e-05,2.765940641263517e-05,1.7950606990744612e-06,1.3034345083784054e-05,1.1542789867235819e-05,1.613818544673277e-05,0.21374557589560794,0.9999984968941605,0.9999999940895968,0.9999999949500803,0.0002485916524376836,6.065779617602635e-07,1.5158667059672064e-06,1.382955582343585e-05
1,1.2438209690775504e-05,0.00012581927442672868,3.8693014121637626e-05,2.4203413146003482e-06,1.773162837944517e-05,1.6169687086543826e-05,2.2599078001440893e-05,0.21439797783392053,0.9999986234484292,0.9999999948347363,0.9999999954572596,0.0003436651771895722,8.483598758430821e-07,2.0412824712496734e-06,1.8773969709090784e-05
2,1.4879074218715184e-05,0.000148287321773317,4.6267835533443434e-05,2.836092686198611e-06,2.0911505457048172e-05,1.9342903011635785e-05,2.703188619556777e-05,0.2150222528984541,0.9999986884660853,0.9999999952178995,0.9999999957100281,0.00040953901569451426,1.0126273535672796e-06,2.387333040699178e-06,2.2117217525510735e-05
3,1.7051595543941612e-05,0.00016787468421940454,5.300919051136368e-05,3.1867130006642374e-06,2.3659887685156543e-05,2.2166470388352334e-05,3.097676736281891e-05,0.21573862941130031,0.9999987361444499,0.9999999954805443,0.9999999958802731,0.00046860701661987893,1.1574334546425494e-06,2.67681733072109e-06,2.5007281069918692e-05
4,1.9213143432729907e-05,0.00018676721897043787,5.971293238357897e-05,3.512014912151655e-06,2.628392441186269e-05,2.4975318291311877e-05,3.490072727793021e-05,0.21676555757974983,0.9999987888057208,0.9999999957517438,0.9999999960544276,0.0005280119339840977,1.303624338061187e-06,2.9500410893956953e-06,2.776568950197347e-05
5,1.8907371592142592e-05,0.00020623562726146383,5.877745011148746e-05,3.831184995570262e-06,2.895333842340185e-05,2.4579306928120018e-05,3.434820290750786e-05,0.21844779332236813,0.99999884840283,0.9999994695693706,0.9999999962310866,0.0005932670256158232,1.2841240911982802e-06,3.2223120563249754e-06,3.05686514947829e-05
6,1.8644173144961933e-05,0.00020096267682593837,5.797864288100521e-05,4.157750410417935e-06,2.8417189401396492e-05,2.4238511482363273e-05,3.387398889852684e-05,0.05638478758565956,0.9999989191828963,0.9999993377031834,0.9999999386998828,0.0005857723339616257,1.2734164503506618e-06,3.505747785223437e-06,2.9937050963587508e-05
7,1.8498801199123598e-05,0.0001966871826093501,5.753291129262818e-05,4.0678092794650615e-06,2.7993081178220417e-05,2.4050590660143614e-05,3.3612173996349056e-05,0.06417038782840122,0.9999617995287543,0.9999992757230747,0.9999999207045849,0.0005858981298815284,1.267819367247306e-06,3.4430392287006486e-06,2.944718235084659e-05
8,1.8432836826057575e-05,0.000194146473937003,5.7330531260861456e-05,3.9969032078986606e-06,2.7760594079741765e-05,2.3966072442715672e-05,3.349428840107157e-05,0.09296860273327497,0.9999524575939004,0.9999992359208241,0.9999999093642281,0.0005980141623459871,1.2660861562810705e-06,3.3920978738698807e-06,2.9153044601666903e-05
9,1.8408506207094516e-05,0.000193283992791918,5.7258657228659916e-05,3.952407751545065e-06,2.7710729858172848e-05,2.393461249928095e-05,3.3450364392716576e-05,0.10270706266854522,0.9999466629856134,0.9999992058980901,0.9999999007943066,0.000626889280838985,1.2661620712212863e-06,3.3603179109190932e-06,2.8997262170562366e-05
10,1.8402160652773177e-05,0.00019427024275324144,5.7246642205271614e-05,3.929571000912302e-06,2.7859677968106547e-05,2.3921895927576966e-05,3.343251887821656e-05,0.09484109934881366,0.9999410034965819,0.9999991746491927,0.9999998927310707,0.0006804820176711903,1.2666479668087399e-06,3.344509236017112e-06,2.8925925767880048e-05
11,1.8401391026147563e-05,0.00019794333776529058,5.7278970552253945e-05,3.923551546280675e-06,2.829702662354765e-05,2.3909270888513705e-05,3.341496259933526e-05,0.06962804089977223,0.9999352956460628,0.9999994286466896,0.9999998851521117,0.0006544848033064408,1.2672416061348303e-06,3.340703587255195e-06,2.8897617253930614e-05
12,1.8401828196903875e-05,0.00020593641264120236,5.7383840938032855e-05,3.9309996388743064e-06,2.9180321922169235e-05,2.3880983554024607e-05,3.3375831097744314e-05,0.06087267227019823,0.9999294648826322,0.9999995217336101,0.99999987835259,0.0006522380800382655,1.268815734795559e-06,3.3461748240177208e-06,2.888697930328296e-05
13,1.8402063197627837e-05,0.00022143399819424896,5.759346158821251e-05,3.950374531121292e-06,3.0852303915979075e-05,2.3826389669575834e-05,3.330026101903928e-05,0.05486719223271276,0.9999336960207432,0.9999995665319867,0.9999998766097727,0.0006832721239227639,1.2721558571768596e-06,3.3597609682384888e-06,2.888196311651114e-05
14,1.8401754599918022e-05,0.00025436910854856207,5.7960295722808214e-05,3.982446810846849e-06,3.436354564943768e-05,2.3748092527759292e-05,3.319193956834591e-05,0.06313037320488664,0.9999363499863219,0.9999995902695733,0.9999998761873904,0.0007645323747689513,1.2786106414188412e-06,3.3828344681989716e-06,2.887720133732301e-05
15,1.840055732711397e-05,0.0003520192999257627,5.8580153776788895e-05,4.030894423186015e-06,4.355956518943031e-05,2.3645112645537407e-05,3.304976368201474e-05,0.2342924531007264,0.9999380931238987,0.9999996043697128,0.999999876351959,0.0009624723525178501,1.2908817466564641e-06,3.4199046767827585e-06,2.887027417265895e-05
16,1.8398502594135247e-05,0.3605038400255582,5.962544470022349e-05,4.1024562208570035e-06,0.41919777857246643,2.3501506420370778e-05,3.285168187465453e-05,0.4851050678415726,0.9999400719745611,0.9999996185009244,0.9999998879386232,0.34314826389833153,1.3130482169872465e-06,3.477354174431892e-06,2.8859534237739163e-05
