,0 AC,0 H2_for_industry,1 AC,1 H2_for_industry,10 AC,10 H2_for_industry,11 AC,11 H2_for_industry,2 AC,3 AC,3 H2_for_industry,4 AC,48623 CH4,48624 CH4,48625 CH4,48626 CH4,48627 CH4,48628 CH4,48629 CH4,48630 CH4,48631 CH4,48632 CH4,48633 CH4,48634 CH4,49604 central_heat,49934 central_heat,5 AC,5 H2_for_industry,51537 central_heat,51728 central_heat,52023 rural_heat,6 AC,6 H2_for_industry,69893 land transport EV,7 AC,7 H2_for_industry,70568 CH4_for_industry,70568 rural_gas_boiler,70582 H2_for_industry,70582 H2_hgv_load,70583 central_heat,70584 central_heat,70585 central_heat,70587 central_heat,70589 central_heat,70590 central_heat,70591 central_heat,70592 central_heat,70593 central_heat,70594 central_heat,70595 central_heat,70596 central_heat,70597 central_heat,70598 central_heat,70599 central_heat,70601 central_heat,70602 central_heat,70604 central_heat,8 AC,8 H2_for_industry,9 AC
20,11878.228351286554,415.02148427083335,11273.879958162426,1598.13083625,20990.468266211366,609.9109516041666,20389.8077145823,1201.6882454166666,7482.293057424244,8784.442345527725,517.5741359166666,74230.92181674585,1.6430168056010093,3.7099653274028683,0.49104372327048007,2.5777922901636305,0.7100212456179532,11.889856932715194,7.984077016640661,0.21153254713996172,6.2371145982878575,0.5271180375930928,5.908189195529982,0.4202445728434486,973.3631710152242,264.52639592644886,6768.224788840068,1529.8526683333332,250.47278414407484,136.2625919553962,6435.07998264096,67568.0,1651.7463891666666,3829.4665151071968,41534.744627162334,1726.8721004166664,20153.7051063405,94761.82988729756,1775.7565901525,3019.572749592712,383.27219393857143,638.6293941593798,738.9451303945044,1800.664593547487,277.8940702529075,813.7731799025785,3091.2941125002667,350.5454733284535,193.950138570835,1165.5184119127891,416.773973753113,321.9063895653113,686.1348825531609,21.861707990576566,570.2792697874685,84.47821263209731,2167.0861662350003,725.6810359787105,15265.11440063638,1694.1099472916665,20211.338053650536
21,11705.793824479731,415.02148427083335,11745.234034071855,1598.13083625,19463.696467227706,609.9109516041666,19792.312115590743,1201.6882454166666,7588.5804204574915,9016.979662986767,517.5741359166666,55971.36478704732,1.3883624012999192,3.094699916857903,0.41627976129336686,2.1485635230328954,0.5941139759041779,9.810107007129984,7.472201039521686,0.17617450011474867,5.190235466035034,0.44272300614576604,4.893244005768378,0.35169005876415627,964.8123339473525,262.3363239838295,6733.14530198228,1529.8526683333332,248.85804444971697,133.20984106331147,6382.1788287371,69649.0,1651.7463891666666,2944.7236792936455,41059.96339785299,1726.8721004166664,20628.5126983457,93980.11240261493,1802.5081875559,3019.572749592712,382.603345509001,633.934686413652,737.6982853175396,1794.8520038621584,276.1513552112435,801.7102972982335,3065.5200942497318,351.75270911874196,193.27543966937756,1151.1582547831936,412.4122731882678,319.1442114901567,672.8347553923574,21.73461652530082,565.9601417982045,84.49171846407623,2128.8709703456893,715.286010591992,14530.948905274363,1694.1099472916665,19814.636760328103
22,12217.609380861088,415.02148427083335,13038.948067748395,1598.13083625,18273.62583669874,609.9109516041666,19831.344497189806,1201.6882454166666,7403.994398529774,9634.034828478785,517.5741359166666,49326.381671843585,1.090808881877993,2.3757868126895834,0.32892105224895435,1.6470268201927718,0.4586809519807326,7.3800021299974246,6.492753966887547,0.13486003174294417,3.9669989346813663,0.3441107763757871,3.7073210131432437,0.2715868420436824,953.0705754492233,256.120798900438,7185.155960426026,1529.8526683333332,245.6879670871108,134.02265219111223,6350.98609085463,70684.0,1651.7463891666666,2561.381390167022,42656.0603880603,1726.8721004166664,19577.5148795706,93666.01182794195,1723.5162336571,3019.572749592712,374.2874902614571,622.9107490961599,720.4617292388243,1774.5559779814992,270.3708515759191,788.3760315389145,3044.212871958574,341.8591542712402,188.14160727273128,1143.3796718306698,407.62865473595326,318.7759768068276,673.615220950415,20.763521675616577,558.7711484530748,82.27598501028679,2123.1716775270406,711.4256236063181,15598.437817578968,1694.1099472916665,19859.198673404302
23,12209.342107374116,415.02148427083335,12417.362647660524,1598.13083625,16829.696267008127,609.9109516041666,19282.933669233855,1201.6882454166666,7316.887299376263,9631.781946303783,517.5741359166666,45077.273144024875,0.9386240592520372,2.0080961079925483,0.2842411248645139,1.3905140613774358,0.3894132425497431,6.137116210155613,5.348309108964692,0.1137295976171315,3.341370190933665,0.2936751951551391,3.1007764135991804,0.23061776242379758,487.4968912725485,142.27541746629657,7012.338466478726,1529.8526683333332,128.48115547321103,66.44338116157677,3482.798584665035,70204.0,1651.7463891666666,2375.7726351548336,51070.33011236072,1726.8721004166664,19349.5373580797,50514.067430235926,1755.689006805,3019.572749592712,237.9138025216112,385.76314367365046,457.98853847731374,959.9871731115677,177.0726989113483,490.66922192678203,1605.5425982124818,224.87760317730513,126.07644776704737,628.9564526237243,240.86547305501338,166.138030263823,362.56306862848146,18.281665013957348,324.783617120405,58.21645058791351,1124.8902099683244,392.34113116566004,14886.403600058085,1694.1099472916665,19430.070207490186
24,15232.019958720824,415.02148427083335,11453.743361213128,1598.13083625,18523.891633913678,609.9109516041666,23300.10287276522,1201.6882454166666,7475.921395233649,9861.3890666068,517.5741359166666,39343.89891798694,0.9688286839017535,2.242228478741303,0.3031195249402462,1.4336494121368715,0.5091627936988098,6.568395744588121,5.677343199892159,0.11971119747448027,3.8381174313597106,0.33391811274239785,3.463775327467593,0.23978305255545893,528.4583172465219,157.01141508781237,6964.1596034727,1529.8526683333332,145.01354056344297,73.37421026893328,3860.948631832052,69660.0,1651.7463891666666,1513.9608419643046,51885.64876177032,1726.8721004166664,19981.4545755242,56124.31596365469,1782.4378626685,3019.572749592712,254.69485559982994,417.16738896101555,485.3730797882995,1042.7118987717065,199.23807130425766,514.04089767901,1854.3778702982345,243.94985716354108,134.36229695383875,672.3780097445665,269.411557012264,194.55823219617326,412.3037055008757,17.94946042248637,367.79925045720285,60.61796027428708,1234.4541579978152,431.98022627945545,15438.352304120524,1694.1099472916665,19977.786018199768
25,14882.306303063995,415.02148427083335,11127.335026004537,1598.13083625,17982.976349058015,609.9109516041666,23136.21296518083,1201.6882454166666,7360.141871094384,9770.588812639755,517.5741359166666,35984.81093218085,0.9603675485341551,2.2198991987421706,0.3005182358200598,1.4194788987378213,0.504070799064678,6.497133129766522,5.8430443028098145,0.1185154648408474,3.7989724621592678,0.33076009976966614,3.4272127235366714,0.2374931591273762,518.5877088009897,154.73191159028855,6807.268812446015,1529.8526683333332,142.02877737145627,70.92114826146134,3804.730380643816,68052.0,1651.7463891666666,791.0699668282759,49125.280084241276,1726.8721004166664,19671.6532249763,55306.39305179555,1743.7056753351,3019.572749592712,253.37201228340797,413.81964229854094,480.26699131415194,1026.0460551932943,198.29338392413584,508.3381563189143,1819.2959327393253,243.44676694363807,133.622408117509,661.8160164895628,266.46936794718073,191.71160237223773,406.27770732934107,17.774876730437782,363.4651912927212,60.116285021099905,1208.5894251591126,424.3585981373716,15072.693610471313,1694.1099472916665,19828.575688789504
26,14152.05096959048,415.02148427083335,10374.73215741212,1598.13083625,17465.91200895309,609.9109516041666,22614.40600005643,1201.6882454166666,7254.821775785728,9497.214078156332,517.5741359166666,34265.07053448121,1.0243120198524487,2.388651256525164,0.3201773064187095,1.526571617178548,0.5425532119666211,7.035695631316464,5.799217829235743,0.12755213518989847,4.094807979680803,0.35462657408834447,3.7035321862102277,0.2547988773640472,512.9733121402173,152.61298149866977,6393.293678769649,1529.8526683333332,141.14242699873205,69.79716876103339,3762.0017908736418,66001.0,1651.7463891666666,479.86936700704973,48312.156167619825,1726.8721004166664,20760.8137509877,54681.87629713001,1822.0929936761,3019.572749592712,250.43496078668628,408.36389174579386,473.7760809295804,1014.2498335474271,195.33076472034313,503.7192112016213,1799.575599553608,239.44857384630993,131.87243679695328,656.0181989703946,262.7892492696322,189.27288985465262,400.392943203413,17.258112279048778,359.0222616885006,58.76474806226349,1195.3812876379343,420.0173326533951,14034.746205648898,1694.1099472916665,19529.68901950294
27,13614.113718316465,415.02148427083335,9828.759763688939,1598.13083625,17325.981399277658,609.9109516041666,22273.612830625272,1201.6882454166666,6913.540364361399,9492.893070507209,517.5741359166666,33003.07229367467,1.2951419918717166,3.1033825561252115,0.40344119820467383,1.9801513769422623,0.705541357690574,9.316719529369545,6.130433506646027,0.16582598635051743,5.347787686618205,0.45571047452051605,4.873853729283942,0.3280953968157624,604.1862216680842,177.57974707673083,6110.811582314541,1529.8526683333332,165.85360338115765,85.12569321616135,4426.967504547125,64659.0,1651.7463891666666,358.6505186736176,43342.642786496916,1726.8721004166664,21189.8125204486,64549.38602664663,1833.5860305248,3019.572749592712,285.80602115773286,468.0970019419794,541.8114012280619,1190.9842900722956,223.24348102803395,570.898154097448,2125.9972349686154,273.68526849537966,150.07837883306775,760.52699668715,304.52315743430586,220.78394248262643,471.3870593994506,19.672937972445713,419.4545399426299,67.65247435414614,1410.0594143460128,493.37192281981663,13164.511580746901,1694.1099472916665,19463.112841124068
28,12700.87646100884,415.02148427083335,9637.490003451045,1598.13083625,17192.588635965825,609.9109516041666,22037.026114626962,1201.6882454166666,6737.990646911939,10010.417922657116,517.5741359166666,32923.7678702429,1.823925819682151,4.498864561460838,0.5660103521602179,2.8657462754571528,1.0237686755204674,13.770320211548757,7.533262098329257,0.2405540283425577,7.794176469452107,0.6530724260135722,7.1588560157794205,0.4712036866105955,643.679446771572,189.7627721066678,5718.50565171103,1529.8526683333332,177.77061685886142,93.26103433405696,4702.82719907712,65362.0,1651.7463891666666,201.18971805812907,38338.952363608485,1726.8721004166664,21312.2340939426,68459.94882413326,1782.0252991453,3019.572749592712,307.42144142496596,504.5976382318309,582.4426363503445,1268.0634181274706,242.41407071602148,607.3271509938755,2258.4761332145395,296.7085181657552,164.64958492338602,801.0058562149368,325.71889871583943,234.21933761409014,503.3941639727818,23.39959994672205,448.3164340043177,75.23392003605986,1500.8328337157498,522.8048845894699,12709.829629239499,1694.1099472916665,19832.383229100466
29,12486.795951798791,415.02148427083335,9540.441568107915,1598.13083625,17736.073085604025,609.9109516041666,22302.7903767936,1201.6882454166666,6507.747678398264,10529.17188343638,517.5741359166666,33174.83197401823,1.9564279812371257,4.848543149181052,0.606746780107472,3.0876578244566213,1.1035097819247632,14.886299343389771,10.272224359195295,0.2592793118553241,8.407190303614868,0.7025272009256993,7.731429771244673,0.5070636292506132,732.3746143884273,215.3568983995592,5529.909776851255,1529.8526683333332,199.28833480401119,101.4113916793376,5266.881140655635,70002.0,1651.7463891666666,360.1214099368517,34857.57060095057,1726.8721004166664,24034.4321824162,76689.58040137071,1920.592943803,3019.572749592712,346.7090386067715,571.167133612135,658.1914496394385,1439.595195605359,275.6550323183277,677.3136419402032,2556.699337694037,337.73555690386723,187.42601922585757,899.4712800324295,367.9853060670694,265.30747165135733,569.1734320130664,24.889877685844667,507.8654155146282,84.29790799260452,1713.142993655204,590.3507461671377,12290.350076226066,1694.1099472916665,21264.246397305862
