,36278 dsm,69893 battery storage
0,0.2818407799881064,0.7981535646850689
1,0.27217994053962535,0.8032720188727019
2,0.2604132718484379,0.8083911921158609
3,0.24860913247704175,0.8133201521342168
4,0.24508938139388925,0.818342871640918
5,0.25207519299121894,0.8228590666547124
6,0.2727833451512462,0.8267008393963212
7,0.28217993346102116,0.8291942388149268
8,0.29017911157698306,0.8297775844789685
9,0.3133155698705413,0.8289278272172719
10,0.34241888956466743,0.8262912691203727
11,0.35882849526762095,0.8237508380453952
12,0.36458603272066537,0.8227552144337711
13,0.3593797319688676,0.8226326782029665
14,0.3497767088117505,0.8220469030208414
15,0.3356842215793504,0.8211233069293272
16,0.33277333132260867,0.820872119763195
17,0.3529527493886745,0.8205201541534981
18,0.38975445152215377,0.8201667953134704
19,0.41190291715897537,0.8196490319904428
20,0.4009371840865001,0.8196641249730616
21,0.3648572325213419,0.8205444078917801
22,0.3293774803703449,0.8215207798130824
23,0.29372667166747296,0.8224504882051507
24,0.2818407799881064,0.8241112254534823
25,0.27217994053962535,0.825596676098223
26,0.2604132718484379,0.8270880561772658
27,0.24860913247704175,0.8285684002266792
28,0.24508938139388925,0.830015724301716
29,0.25207519299121894,0.8311288011165331
30,0.2727833451512462,0.8320501240345488
31,0.28217993346102116,0.8329362005883248
32,0.29017911157698306,0.8331669022293666
33,0.3133155698705413,0.8320200139713886
34,0.34241888956466743,0.8274546531324966
35,0.35882849526762095,0.8233058625032094
36,0.36458603272066537,0.8199283180851726
37,0.3593797319688676,0.817407847114546
38,0.3497767088117505,0.8154499281769136
39,0.3356842215793504,0.8138467381765206
40,0.33277333132260867,0.812896749723748
41,0.3529527493886745,0.8125685586100225
42,0.38975445152215377,0.8126445185989063
43,0.41190291715897537,0.813401377406775
44,0.4009371840865001,0.8147034878555699
45,0.3648572325213419,0.816016120443794
46,0.3293774803703449,0.8176772873821304
47,0.29372667166747296,0.8191739073671528
48,0.31105117812992866,0.8210501428029123
49,0.29308329429666896,0.8224802567943543
