,36278 dsm,48623 CH4,48624 CH4,48626 CH4,48627 CH4,48628 CH4,48629 CH4,48631 CH4,48633 CH4,48634 CH4,48637 H2_underground,63629 central_heat_store,63959 central_heat_store,65562 central_heat_store,65753 central_heat_store,66048 rural_heat_store,69893 battery storage,70568 CH4,70582 H2_overground,70605 central_heat_store,70606 central_heat_store,70607 central_heat_store,70608 central_heat_store,70609 central_heat_store,70610 central_heat_store,70611 central_heat_store,70612 central_heat_store,70613 central_heat_store,70614 central_heat_store,70615 central_heat_store,70616 central_heat_store,70617 central_heat_store,70618 central_heat_store,70619 central_heat_store,70620 central_heat_store,70621 central_heat_store,70622 central_heat_store
0,-1618.1334583275882,51522456.65421597,3224523.773860161,8276036.175257542,1880616.8451350073,55495904.23378254,16729133.335497351,49328516.7237508,20027028.628859185,1373313.6907584202,1.6329714226209653,548816537.1960651,2506202411.8494415,21.37956871116326,30.94358816720599,2.969489167963674,723610.5493966974,64646198.85495934,1299.5521257807861,4.330997244313661,4.388265139792561,4.494893518899495,4.485741770309734,4.330513491595895,4.478436981880492,21249246765.290855,4.3919262205020875,51.80495560428513,5.324138226443561,4.363678134705046,4810834421.128613,75239635474.53203,36.71723086247219,261.120185495851,2375462.188320379,4.214088706377372,2.0592953865308465
1,-1229.2683058317873,51516017.433393694,3250319.819701073,8272958.770618716,1877494.3351666832,55487818.22662854,16746884.001069402,49312780.3524227,20029690.901913594,1379789.2510310807,1.644517674371717,548816537.1963575,2506202411.849446,21.379337333323534,30.943221923696733,6.142779837076808,728206.3029135661,64680032.39596875,2634.454149407937,4.330673391554614,4.388178398568393,4.419831657411067,4.485691411087507,4.330267284146652,4.478412181923089,21249246765.295723,4.391635259903747,51.75585292236205,5.324118651851528,4.363577212173164,4810834461.623498,75239635487.35031,36.71717504302374,450.12148153444053,2376551.9274124457,4.214085918786602,1.9306103280216949
2,-869.3045010423026,51510083.823749565,3264350.003946208,8272456.991174825,1889286.0335647208,55478056.687986314,16790113.932386715,49302759.21547957,20029699.24726261,1378946.8330954625,1.6560508939811467,548816537.1965227,2506202411.8493085,21.37909783251593,30.942870690871707,1980.183530121257,732892.2827568625,64688431.41710886,3921.3095184948115,4.3303341371595705,4.388084404166621,4.358624376131905,4.485623862210896,4.330006783429604,4.478384156915397,21249246765.299343,4.39132859979633,51.71474616226826,5.324097842747201,4.36347001523653,4810834503.78609,75239635506.46214,36.71711915588222,645.3124743669305,2376646.2050914457,4.214082875051568,7.533374687938847
3,-503.0719528637398,51505046.801131114,3267472.6655983217,8272937.026164814,1885885.684119224,55478184.435036086,16789899.213835973,49303515.70742772,20032896.761087984,1385638.3539337595,1.6675760424703452,548816537.1968557,2506202411.849089,21.378923373377436,30.942573151400577,4369.36529534446,737281.8958453184,64722151.48584727,5178.291538132798,4.330140443632396,4.388049249817265,4.330024623733563,4.485627830602117,4.329834642653453,4.478376347919193,21249246765.303154,4.3911438662451,51.63635838117268,5.32409075342556,4.363412369395205,4810834520.675562,75239635506.08592,36.71706397895853,792.0392854696214,2377481.9906280497,4.214082542408567,7.40192642692178
4,-141.97097548077744,51500193.63709393,3261827.610769647,8272885.421779146,1893109.4779944143,55472211.69886774,16821086.377202597,49298192.82992582,20034799.333891883,1381520.9032949388,1.6790950419937989,548816537.1971285,2506202411.84881,21.378782827566464,30.942334593814365,6549.131574035933,741517.0640470729,64742514.259648785,6471.1950274411365,4.330008597783312,4.3880353422472895,4.269392984434111,4.485635157519434,4.329715358779585,4.4783734523769185,21249246765.306847,4.391022682149987,51.54734139160466,5.324087008023608,4.36337695081711,4810834528.00867,75239635505.5718,36.71705714635102,903.7245141518749,2378223.7612236645,4.214082936100815,7.274715274757363
5,195.5905273337534,51495594.03487489,3264859.748749025,8272201.266751342,1887762.8740469418,55474403.05537391,16825950.127801213,49300018.907304406,20040212.553430293,1385832.6941940852,1.69061382951712,548816537.1972239,2506202411.8485413,21.37869506154398,30.942161682669543,8317.578691774537,745330.7555929031,64756410.96210807,7712.338146028558,4.329965701262211,4.388041021968482,4.087422158058362,4.485644641297909,4.329664596460337,4.47837524207906,21249246765.31076,4.3909914393340115,51.532920465377586,5.324087421610968,4.36336671724589,4810834521.638584,75239635505.22864,36.7170911103167,980.5679779575244,2378269.646385969,4.2140836272521645,7.150265785824378
6,431.7408743925923,51491346.54914814,3265029.1074265325,8271129.676791861,1895676.1635441652,55475502.81616127,16857123.27680964,49300758.100462735,20040791.92713529,1383372.7401439934,1.7021305724445996,548816537.1970408,2506202411.84843,21.378797724191994,30.942308897674323,8322.275097242233,748834.9864430786,64694701.66760106,8944.007780220174,4.330098146791717,4.388061188453927,4.264373633914432,4.485654589755204,4.3297679294124505,4.478381084269451,21249246765.31532,4.39111123910841,51.703655492804515,5.32409108761259,4.363394556333563,4810834520.93346,75239635504.92258,36.717147413953406,832.1275937554444,2378989.8852047273,4.214083769459623,7.028899478193433
7,634.3077008698175,51487909.97674174,3271449.452070698,8272669.976945266,1890480.153403409,55485618.59866396,16867302.92338255,49309625.24939278,20044659.15462951,1389984.756587936,1.7136413794511274,548816537.1967973,2506202411.8481693,21.378880879927713,30.942417922756107,13482.095104372342,751755.6259643123,64636801.3900749,10180.627405607745,4.330215629383573,4.388080987861124,4.2650709938603395,4.485664810054088,4.3298525446545115,4.478386868554256,21249246765.31966,4.391216736657785,51.80392678450477,5.324097932932599,4.363420691192177,4810834483.664423,75239635504.63518,36.717187540190785,735.6870985572074,2378992.5215115547,4.214084091485294,6.909081571815436
8,768.2963637464335,51486495.432248466,3269583.201217318,8275233.177125912,1890346.802826549,55469012.403376915,16887490.58844258,49212881.73590135,20047865.96738743,1387575.432996834,1.7251603658798607,548816537.1964262,2506202411.84788,21.378939680278155,30.94248537062006,18411.646451665678,752191.0856518322,64719000.88855356,11411.364302251535,4.33031367109918,4.388100428753966,4.186483548907358,4.485675612829843,4.3299143075767095,4.478392775019278,21249246765.323227,4.391301648857593,51.80774757549382,5.324108949460081,4.363444713698671,4810834477.351835,75239635504.26044,36.717227673227626,675.8248080312653,2378650.7752756644,4.214084759945808,6.790662060005859
9,838.5489764878195,51484135.25711659,3265568.621680446,8273442.185608218,1895625.94693975,55449873.804532215,16873786.4784201,49204066.93434401,20036810.736073896,1383036.3854412942,1.7366705059085898,548816537.19609,2506202411.847429,21.379012015401937,30.942585446128053,26275.037470034466,750128.5104141609,64762442.399057604,12633.867190233894,4.330421174197357,4.388121392509116,4.176765187868723,4.4856868310625195,4.329988762965736,4.478399191719504,21249246765.327717,4.391395264630884,51.849567802224854,5.324121247992197,4.363470553120815,4810834466.190369,75239635503.7571,36.7172466977769,596.464940109965,2377916.3144202745,4.214085331568011,6.673588513807553
10,917.2216559467569,51481939.74121497,3265711.2238134304,8276107.042910694,1890677.5576930786,55439216.89740322,16834980.649112836,49203822.46049575,20038784.568873867,1382966.7916034325,1.7481713646067378,548816537.1957998,2506202411.847093,21.37908705704147,30.942689453560348,34151.63403200113,748584.2292778838,64796667.18647343,13867.010938096413,4.33052673159778,4.388145567173123,4.238054769163204,4.485699070638738,4.330062961792564,4.478405927889685,21249246765.33219,4.391491048035738,51.880807499806515,5.324132635949042,4.363497176170575,4810834453.896553,75239635502.51984,36.717250259923034,518.9818750977307,2378995.3399171927,4.214085833731939,6.557715738087479
11,986.23786598987,51478678.830016166,3260687.6425353503,8272618.72241632,1891028.4456681858,55423516.92982405,16835942.5195643,49190464.69553613,20029944.832052752,1380224.137423947,1.759669550655455,548816537.1955218,2506202411.846927,21.379144990979846,30.94276027296592,42481.52427162049,748192.237980464,64838190.49588371,15140.081348329933,4.330611388821698,4.38816938430496,4.306154817829375,4.485711727224434,4.330116177424364,4.478412929744584,21249246765.336967,4.391569747272389,51.88167635323529,5.324142102274202,4.363518197754568,4810834452.094235,75239635501.01924,36.71724574292865,503.2811041249458,2378917.3534176303,4.214086480114458,6.4428840335639475
