,43762 coal,43763 nuclear,43764 coal,43764 lignite,43764 nuclear,43765 coal,43766 coal,43767 nuclear,43768 lignite,43769 coal,43769 nuclear,43771 nuclear,43773 coal,43773 lignite,43774 nuclear
0,2.8669367190240866e-05,0.0003652713190161616,7.144475105301061e-05,1.0153834992722342e-05,8.563213556338885e-05,3.4745819665846136e-05,4.542777594592803e-05,0.01720353900165335,0.0005376898967889434,8.981933551324865e-06,0.999942662829928,0.0008185570521214927,5.160360715343123e-06,9.46123969705153e-06,4.334471047029067e-05
1,3.823251367711414e-05,0.0004883533912471121,9.806714899525458e-05,1.2900362341816673e-05,0.00011327354052292045,4.6929550143340664e-05,6.146220673874043e-05,0.017226306105890803,0.0007148712928588814,1.1580325845204864e-05,0.9999524534337897,0.0010946429201777312,7.087133210227393e-06,1.2284611342490989e-05,5.553022298229179e-05
2,4.4667094009756635e-05,0.0005724736250567629,0.00011583291863264719,1.471070059376833e-05,0.00013252870669548073,5.51447175635353e-05,7.225815973093891e-05,0.01724166612440765,0.0008296646117025544,1.3230368812552927e-05,0.9999582265971885,0.0012842033534082586,8.367137739634985e-06,1.4131345036638323e-05,6.376725901967878e-05
3,5.037083244657534e-05,0.0006451021810918356,0.00013142039610515056,1.6187831213266375e-05,0.00014955153273272853,6.233892476851884e-05,8.181721961309429e-05,0.017251290881856212,0.0009236916844776613,1.4673041299533566e-05,0.9999627821254254,0.0014483879736623818,9.453872303311619e-06,1.5578733306048627e-05,7.084714050373557e-05
4,5.5999770202595255e-05,0.0007144672231155122,0.00014700523835304137,1.753667892450316e-05,0.00016644181049339687,6.941993812306847e-05,9.146268698870598e-05,0.017262055934884613,0.0010192082251080923,1.602193247223137e-05,0.9999676414309759,0.001606180331174345,1.0504839496325886e-05,1.6859158911348445e-05,7.756829710060471e-05
5,5.496849287502893e-05,0.0007857570482267756,0.0001443111086858167,1.8830711246791376e-05,0.00018478023402494613,6.816984474496634e-05,8.98427967664949e-05,0.017288154141739086,0.0011570647020212404,1.652299712535442e-05,0.9999730359192717,0.001768945050528136,1.0340496558897454e-05,1.8069650397805114e-05,8.43547396719862e-05
6,5.4252125922667376e-05,0.000766032029924238,0.00014221078619537308,2.0117997369890545e-05,0.00017853241459129645,6.725235452543205e-05,8.864142770990893e-05,0.001513415686232583,0.0013406992773354323,1.7635112773104006e-05,0.9999749320471312,0.0017265786358749604,1.0184692454953057e-05,1.920826380139058e-05,8.253333378184468e-05
7,5.390617445207057e-05,0.0007520423734325116,0.00014115609191548697,1.977188622661393e-05,0.00017421973195264756,6.678548744744759e-05,8.803515610333078e-05,0.006765371762116442,0.0015359384303544321,1.9268444564169927e-05,0.9999778831804883,0.0016981536657141028,1.0087906146177577e-05,1.8538706237038378e-05,8.113176760795373e-05
8,5.373918856351743e-05,0.0007447222573866661,0.00014072999682320943,1.9484368730372582e-05,0.00017175607754510335,6.659740558374221e-05,8.779896485794616e-05,0.006829183693086737,0.0019472211085528506,2.19748034657839e-05,0.9999826004119416,0.0016848289017308165,1.0040240359461168e-05,1.803598215235851e-05,8.029714800038947e-05
9,5.36844232577999e-05,0.0007429430576983902,0.00014060098749271174,1.929500779563014e-05,0.0001706820244607146,6.655801648250373e-05,8.774597004838177e-05,0.00686316128826309,0.998223357257554,0.6860165875737365,0.9999971833524013,0.0016835779372680565,1.0018091493823715e-05,1.7715255632013772e-05,7.983912369956985e-05
10,5.366566110617751e-05,0.0007466879829172517,0.00014056427881697502,1.91760407075181e-05,0.0001711575290666606,6.656548386461519e-05,8.7734116916459e-05,0.006874507095416031,0.9996905104164705,0.9999967952027132,0.9999988898328248,0.0016935320459730203,1.0015238726059242e-05,1.752908996374342e-05,7.955857217562546e-05
11,5.364417911717298e-05,0.0007584878097207952,0.00014059526577174584,1.909427865837952e-05,0.00017351177948098778,6.657710918731785e-05,8.77435944385321e-05,0.006858036484025568,0.9998096437317575,0.9999984011381178,0.9999993409408978,0.0017197865392196952,1.0024319552252371e-05,1.742025959136956e-05,7.932963900554706e-05
12,5.3585023170975185e-05,0.0007826488580297824,0.0001406915805956823,1.9022455224698793e-05,0.00017871907104899268,6.658521213611377e-05,8.776440715695086e-05,0.005540941626532163,0.9998462593421197,0.9999988153801678,0.9999994765489824,0.001769487590670313,1.0038107391613395e-05,1.735550261841393e-05,7.909108261214227e-05
13,5.354139050496709e-05,0.0008284051548030541,0.00014088251368361468,1.8959626360523465e-05,0.0001884833886551986,6.662083604667343e-05,8.78323070051386e-05,0.0003325656547247284,0.9998637273233255,0.9999989850914475,0.9999995542456799,0.0018620478970703307,1.0057658322114797e-05,1.7334644567703716e-05,7.886050116944104e-05
14,5.3499534380847566e-05,0.0009203056772381779,0.0001412181704430471,1.8863146021715375e-05,0.0002077033935398536,6.671826520404919e-05,8.798925650684367e-05,0.00031226645184139027,0.9998731203001028,0.9999990660138176,0.99999961192501,0.0020569598385308985,1.0081898596044197e-05,1.733268779366185e-05,7.867570043956717e-05
15,5.344901722644984e-05,0.0011809361831286041,0.00014178995503895427,1.86974950115955e-05,0.0002625549516786994,6.692200089556911e-05,8.82896614940191e-05,0.09459741824436621,0.9998785885667952,0.9999991119137897,0.999999658161937,0.002683359708515676,1.0112963700104705e-05,1.7321524307965712e-05,7.851175456636156e-05
16,5.3419037385582875e-05,0.40597204123138075,0.00014275444362189582,1.850653014783804e-05,0.24759504224152243,6.734132976734847e-05,8.88734110103926e-05,0.27601885047223407,0.9998830668245363,0.9999991499776728,0.9999996988347416,0.45042740922620345,1.0098759379137726e-05,1.725206871556632e-05,7.836394142701528e-05
17,5.339215914826048e-05,0.5945216457708401,0.00014339111610286976,1.8283672556446632e-05,0.5418163431069523,6.814827662828195e-05,8.997127921315441e-05,0.603715894033943,0.9998956546756647,0.9999992424937468,0.9999997354707871,0.6138049082646034,1.0008707682610908e-05,1.7134660750557044e-05,7.800772993336108e-05
18,5.336845541172734e-05,0.7215431652788415,0.00014380657300258382,1.8057894863525653e-05,0.688314744113023,6.877952473472162e-05,9.083439216999624e-05,0.7131869008826619,0.9999089668441811,0.9999993410753676,0.9999997699710264,0.7263389085179668,9.876663644460719e-06,1.6996386404529167e-05,7.728985479772861e-05
19,5.3347950446009516e-05,0.7243470373823435,0.00014406842981607023,1.7872062865390507e-05,0.6887143309071756,6.916669609993766e-05,9.13726045928197e-05,0.7132538716741018,0.9999226734250611,0.9999994434349079,0.9999998043489225,0.7344652858407931,9.780618009306207e-06,1.6875685828639384e-05,7.642443128318923e-05
20,5.33221993200194e-05,0.7248195650080693,0.0001441853134014309,1.7733896210149974e-05,0.6887972976692867,6.938348437946182e-05,9.167959376795561e-05,0.7132413864412391,0.9999372551385142,0.9999995531075332,0.999999840800674,0.7358054604525138,9.760494247232764e-06,1.6794152576197928e-05,7.578902661496986e-05
21,5.329592167119723e-05,0.7247809327163222,0.00014420791826239563,1.7639803893186785e-05,0.6887975541525042,6.94864554369561e-05,9.183038069802808e-05,0.6187784428479554,0.999954852839373,0.9999996895595061,0.9999998856243768,0.7358075689935953,9.798899914149347e-06,1.6750522512094228e-05,7.577173725384039e-05
22,5.327385952039202e-05,0.6586169839882905,0.00014419684326841216,1.756138208534348e-05,0.5824528226436785,6.951548675407609e-05,9.18791680236927e-05,0.4459957871759869,0.9999915065598314,0.9999999623539321,0.9999999753670826,0.6755887403433488,9.82691770381907e-06,1.6703847453880463e-05,7.632361322306549e-05
23,5.3260482781237203e-05,0.6562064189316701,0.00014417731792134057,1.7499101887704667e-05,0.5819663173142611,6.951044460741748e-05,9.188111851242954e-05,0.4459278521348129,0.9999942117850582,0.999999994205312,0.9999999981404715,0.6708335933839524,9.816606574677072e-06,1.6640549321488812e-05,7.726534375488317e-05
24,5.324668113266422e-05,0.6548120021965967,0.00014414642042150886,1.7430876610252616e-05,0.5816546874242354,6.949059606266159e-05,9.186098260104547e-05,0.4458844670018254,0.9999942250243242,0.9999999936052173,0.9999999979474378,0.6679318943003799,9.797689659276056e-06,1.6573551111150353e-05,7.919046990244872e-05
25,5.3225038171026445e-05,0.6538125838073743,0.00014411132478987643,1.7338011488238138e-05,0.5813972124065093,6.945967521250296e-05,9.183267245377116e-05,0.4458494230770309,0.9999917026819798,0.9999999665436707,0.9999999801885965,0.6658273071902964,9.75949021930306e-06,1.6483073531864907e-05,8.233230074275554e-05
26,5.319957583138253e-05,0.6535623449465884,0.00014410718522666445,1.7181046119604423e-05,0.5812980749973712,6.943415607795599e-05,9.182048326714622e-05,0.44583849014518895,0.9999565922030998,0.9999997035540925,0.9999998999981038,0.6653958539020067,9.692988139480186e-06,1.6337782718345653e-05,8.760588880222893e-05
27,5.3158011596798095e-05,0.65372538894859,0.0001441187144788769,1.691665142475954e-05,0.5812792521594414,6.940629417741732e-05,9.181341969261791e-05,0.445842550525594,0.9999356213743081,0.9999995240885875,0.99999985181161,0.665962186840734,9.578254355409567e-06,1.60919367950916e-05,9.80040838084294e-05
28,5.308837343218401e-05,0.6544143705226366,0.00014411185308984108,1.6516287397725978e-05,0.5813445238488552,6.936368579143516e-05,9.179239434140169e-05,0.44586899124062185,0.9999176737460487,0.9999993658011259,0.9999998137415533,0.6677533916139987,9.402156429851962e-06,1.5687152586794495e-05,0.00012093073861755961
29,5.296786816404965e-05,0.6566462164070445,0.00014399240928939118,1.59946351595562e-05,0.5816197977424612,6.927113888669455e-05,9.170659836535808e-05,0.44595648119076936,0.9999012222989528,0.9999992172568045,0.9999997799914467,0.6726302142228946,9.185323910905821e-06,1.5103350278828072e-05,0.00019436089567618855
30,5.270705239117163e-05,0.8121102607125762,0.00014350625730154168,1.5402473923362752e-05,0.8192254544575016,6.90120788228039e-05,9.14066844709776e-05,0.7231041348357681,0.9998859519113344,0.9999990711193796,0.999999761693853,0.809088743200385,8.981132336134446e-06,1.4367931429300435e-05,0.8696887302921227
31,5.228750297031393e-05,0.9250695883312356,0.00014260145855076906,1.4816005230513205e-05,0.891626045461725,6.855066523275977e-05,9.084609764731614e-05,0.8269536683648431,0.9998752339783384,0.9999989941262891,0.9999997574643184,0.9204243136640966,8.762260160084673e-06,1.3605000192753947e-05,0.9969841972265655
32,5.171596118207344e-05,0.9899804761686943,0.00014128130967834654,1.4346013442551066e-05,0.9975501935496544,6.787807765357052e-05,9.002368105409142e-05,0.9996968923359516,0.9998754991403183,0.9999990294031671,0.9999997600607237,0.9779260449574547,8.467450912684043e-06,1.294365232313226e-05,0.99750774297883
33,5.083381526231822e-05,0.9904912739582542,0.00013914520561841677,1.400605890741101e-05,0.9976330785461095,6.679113900528358e-05,8.868640774393256e-05,0.9997060528506191,0.9998785686136263,0.9999990762498757,0.9999997637057836,0.9791446910789998,8.182610658321317e-06,1.2412363602828321e-05,0.9976438603450811
34,4.950709036429831e-05,0.9910042000250444,0.00013590072448745698,1.3940162888619167e-05,0.9977347240341852,6.515073361847361e-05,8.662441675000018e-05,0.9997173753873001,0.999891506338188,0.9999991828657302,0.9999997699086847,0.9803596962702986,8.01957586915378e-06,1.2207975330621226e-05,0.9978109643301122
