name,scn_name,bus0,bus1,carrier,p_nom,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
1092,eGon2035,64593,50568,central_heat_store_discharger,0.033647894919652296,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.033647894919652296,DE,inf,False,,,0.0,,,1.0,1.0
1093,eGon2035,64605,50580,central_heat_store_discharger,0.03132413144985886,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.03132413144985886,DE,inf,False,,,0.0,,,1.0,1.0
1094,eGon2035,64610,50585,central_heat_store_discharger,0.03443908659930426,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.03443908659930426,DE,inf,False,,,0.0,,,1.0,1.0
1095,eGon2035,64670,50645,central_heat_store_discharger,0.025317273453675945,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.025317273453675945,DE,inf,False,,,0.0,,,1.0,1.0
1096,eGon2035,64715,50690,central_heat_store_discharger,0.01830232145529041,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.01830232145529041,DE,inf,False,,,0.0,,,1.0,1.0
1097,eGon2035,64754,50729,central_heat_store_discharger,0.018304063776678228,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.018304063776678228,DE,inf,False,,,0.0,,,1.0,1.0
1098,eGon2035,64759,50734,central_heat_store_discharger,0.06496841066715994,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.06496841066715994,DE,inf,False,,,0.0,,,1.0,1.0
1099,eGon2035,64839,50814,central_heat_store_discharger,0.019228018811386804,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.019228018811386804,DE,inf,False,,,0.0,,,1.0,1.0
1100,eGon2035,64851,50826,central_heat_store_discharger,0.035741857997580534,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.035741857997580534,DE,inf,False,,,0.0,,,1.0,1.0
1101,eGon2035,64857,50832,central_heat_store_discharger,0.37571640425830405,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.37571640425830405,DE,inf,False,,,0.0,,,1.0,1.0
1102,eGon2035,64874,50849,central_heat_store_discharger,0.04164450474387157,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.04164450474387157,DE,inf,False,,,0.0,,,1.0,1.0
1103,eGon2035,64883,50858,central_heat_store_discharger,0.019755532193106135,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.019755532193106135,DE,inf,False,,,0.0,,,1.0,1.0
1104,eGon2035,64914,50889,central_heat_store_discharger,0.03433840196119879,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.03433840196119879,DE,inf,False,,,0.0,,,1.0,1.0
1105,eGon2035,64917,50892,central_heat_store_discharger,0.057302344764245804,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.057302344764245804,DE,inf,False,,,0.0,,,1.0,1.0
1106,eGon2035,64920,50895,central_heat_store_discharger,0.01758919646913872,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.01758919646913872,DE,inf,False,,,0.0,,,1.0,1.0
1107,eGon2035,64986,50961,central_heat_store_discharger,0.03063828894130213,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.03063828894130213,DE,inf,False,,,0.0,,,1.0,1.0
1108,eGon2035,4,36178,dsm,81.71892460691987,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,81.71892460691987,DE,inf,False,,,0.0,,,1.0,1.0
1109,eGon2035,4,50690,central_resistive_heater,0.00554594062868659,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.00554594062868659,DE,inf,False,,,0.0,,,1.0,1.0
1110,eGon2035,4,50734,central_heat_pump,4.894494180575919,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.894494180575919,DE,inf,False,,,0.0,,,1.0,1.0
1111,eGon2035,4,50734,central_resistive_heater,6.286510709114598,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.286510709114598,DE,inf,False,,,0.0,,,1.0,1.0
1112,eGon2035,4,52023,rural_heat_pump,666.5218174615842,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,666.5218174615842,DE,inf,False,,,0.0,,,1.0,1.0
1113,eGon2035,4,69893,BEV charger,1222.3881752490997,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1222.3881752490997,DE,inf,False,,,0.0,,,1.0,1.0
1114,eGon2035,4,72169,power_to_H2,264.23457917044453,inf,461.22415334238485,0.0,0.6999999999999998,0.0,0.0,1.0,0.0,264.23457917044453,DE,31.0,False,,,0.0,,,1.0,1.0
1115,eGon2035,4,72182,power_to_H2,0.999954539876638,1.0,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,0.999954539876638,DE,31.0,False,,,0.0,,,1.0,1.0
1116,eGon2035,4,72206,power_to_H2,0.9750234483448724,1.0,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,0.9750234483448724,DE,31.0,False,,,0.0,,,1.0,1.0
1117,eGon2035,4,72303,central_heat_pump,0.8069198850628396,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8069198850628396,DE,inf,False,,,0.0,,,1.0,1.0
1118,eGon2035,4,72303,central_resistive_heater,0.2058188955678193,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2058188955678193,DE,inf,False,,,0.0,,,1.0,1.0
1119,eGon2035,4,72311,central_heat_pump,3.3780498717254064,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.3780498717254064,DE,inf,False,,,0.0,,,1.0,1.0
1120,eGon2035,4,72311,central_resistive_heater,0.7310042861700062,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7310042861700062,DE,inf,False,,,0.0,,,1.0,1.0
1121,eGon2035,4,72329,central_heat_pump,1.6180044652712373,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.6180044652712373,DE,inf,False,,,0.0,,,1.0,1.0
1122,eGon2035,4,72329,central_resistive_heater,0.6605942980366997,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6605942980366997,DE,inf,False,,,0.0,,,1.0,1.0
1123,eGon2035,4,72337,central_resistive_heater,0.011945268318945539,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.011945268318945539,DE,inf,False,,,0.0,,,1.0,1.0
1124,eGon2035,65001,50976,central_heat_store_discharger,5.354881774520513,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,5.354881774520513,DE,inf,False,,,0.0,,,1.0,1.0
1125,eGon2035,65005,50980,central_heat_store_discharger,0.018447369728258063,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.018447369728258063,DE,inf,False,,,0.0,,,1.0,1.0
1126,eGon2035,65006,50981,central_heat_store_discharger,5.816480571898073,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,5.816480571898073,DE,inf,False,,,0.0,,,1.0,1.0
1127,eGon2035,65021,50996,central_heat_store_discharger,20.936845762862678,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,20.936845762862678,DE,inf,False,,,0.0,,,1.0,1.0
1128,eGon2035,65036,51011,central_heat_store_discharger,0.04265963659731265,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.04265963659731265,DE,inf,False,,,0.0,,,1.0,1.0
1129,eGon2035,65065,51040,central_heat_store_discharger,0.01782793193763785,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.01782793193763785,DE,inf,False,,,0.0,,,1.0,1.0
