,36178 dsm,69893 battery storage,48623 CH4,48624 CH4,48626 CH4,48627 CH4,48628 CH4,48629 CH4,48631 CH4,48633 CH4,48634 CH4,63566 central_heat_store,63629 central_heat_store,63635 central_heat_store,63674 central_heat_store,63742 central_heat_store,63760 central_heat_store,63790 central_heat_store,63912 central_heat_store,63919 central_heat_store,63959 central_heat_store,63995 central_heat_store,64000 central_heat_store,64002 central_heat_store,64038 central_heat_store,64110 central_heat_store,64159 central_heat_store,64227 central_heat_store,64389 central_heat_store,64391 central_heat_store,64444 central_heat_store,64497 central_heat_store,64533 central_heat_store,64581 central_heat_store,64593 central_heat_store,64605 central_heat_store,64610 central_heat_store,64670 central_heat_store,64715 central_heat_store,64754 central_heat_store,64759 central_heat_store,64839 central_heat_store,64851 central_heat_store,64857 central_heat_store,64874 central_heat_store,64883 central_heat_store,64914 central_heat_store,64917 central_heat_store,64920 central_heat_store,64986 central_heat_store,65001 central_heat_store,65005 central_heat_store,65006 central_heat_store,65021 central_heat_store,65036 central_heat_store,65065 central_heat_store,65118 central_heat_store,65133 central_heat_store,65142 central_heat_store,65148 central_heat_store,65160 central_heat_store,65161 central_heat_store,65175 central_heat_store,65195 central_heat_store,65296 central_heat_store,65300 central_heat_store,65309 central_heat_store,65311 central_heat_store,65374 central_heat_store,65390 central_heat_store,65409 central_heat_store,65412 central_heat_store,65416 central_heat_store,65428 central_heat_store,65430 central_heat_store,65436 central_heat_store,65440 central_heat_store,65476 central_heat_store,65486 central_heat_store,65488 central_heat_store,65519 central_heat_store,65527 central_heat_store,65560 central_heat_store,65567 central_heat_store,65579 central_heat_store,65606 central_heat_store,65610 central_heat_store,65616 central_heat_store,65627 central_heat_store,65629 central_heat_store,65680 central_heat_store,65713 central_heat_store,65715 central_heat_store,65734 central_heat_store,65743 central_heat_store,65744 central_heat_store,65748 central_heat_store,65749 central_heat_store,65750 central_heat_store,65753 central_heat_store,65780 central_heat_store,65782 central_heat_store,65783 central_heat_store,65802 central_heat_store,65845 central_heat_store,65850 central_heat_store,65900 central_heat_store,65914 central_heat_store,65933 central_heat_store,65935 central_heat_store,65943 central_heat_store,65945 central_heat_store,65958 central_heat_store,65966 central_heat_store,65974 central_heat_store,65979 central_heat_store,66030 central_heat_store,66038 central_heat_store,66041 central_heat_store,72027 CH4,72028 CH4,72029 CH4,72030 CH4,72031 CH4,72032 CH4,72033 CH4,72034 CH4,72035 CH4,72036 CH4,72037 CH4,72038 CH4,72039 CH4,72040 CH4,72041 CH4,72042 CH4,72043 CH4,72044 CH4,72045 CH4,72046 CH4,72047 CH4,72048 CH4,72049 CH4,72050 CH4,72051 CH4,72052 CH4,72053 CH4,72054 CH4,72055 CH4,72056 CH4,72057 CH4,72058 CH4,72059 CH4,72060 CH4,72061 CH4,72062 CH4,72063 CH4,72064 CH4,72065 CH4,72066 CH4,72067 CH4,72068 CH4,72069 CH4,72070 CH4,72071 CH4,72072 CH4,72073 CH4,72074 CH4,72075 CH4,72076 CH4,72077 CH4,72078 CH4,72079 CH4,72080 CH4,72081 CH4,72082 CH4,72083 CH4,72084 CH4,72085 CH4,72086 CH4,72087 CH4,72088 CH4,72089 CH4,72090 CH4,72091 CH4,72092 CH4,72093 CH4,72094 CH4,72095 CH4,72096 CH4,72097 CH4,72098 CH4,72099 CH4,72100 CH4,72101 CH4,72102 CH4,72103 CH4,72104 CH4,72105 CH4,72106 CH4,72107 CH4,72108 CH4,72109 CH4,72110 CH4,72111 CH4,72112 CH4,72113 CH4,72127 H2_overground,72128 H2_overground,72129 H2_overground,72130 H2_overground,72131 H2_overground,72132 H2_overground,72133 H2_overground,72134 H2_overground,72135 H2_overground,72136 H2_overground,72137 H2_overground,72138 H2_overground,72139 H2_overground,72140 H2_overground,72141 H2_overground,72142 H2_overground,72143 H2_overground,72144 H2_overground,72145 H2_overground,72146 H2_overground,72147 H2_overground,72148 H2_overground,72149 H2_overground,72150 H2_overground,72151 H2_overground,72152 H2_overground,72153 H2_overground,72154 H2_overground,72155 H2_overground,72156 H2_overground,72157 H2_overground,72158 H2_overground,72159 H2_overground,72160 H2_overground,72161 H2_overground,72162 H2_overground,72163 H2_overground,72164 H2_overground,72165 H2_overground,72166 H2_overground,72167 H2_overground,72168 H2_overground,72169 H2_overground,72170 H2_overground,72171 H2_overground,72172 H2_overground,72173 H2_overground,72174 H2_overground,72175 H2_overground,72176 H2_overground,72177 H2_overground,72178 H2_overground,72179 H2_overground,72180 H2_overground,72181 H2_overground,72182 H2_overground,72183 H2_overground,72184 H2_overground,72185 H2_overground,72186 H2_overground,72187 H2_overground,72188 H2_overground,72189 H2_overground,72190 H2_overground,72191 H2_overground,72192 H2_overground,72193 H2_overground,72194 H2_overground,72195 H2_overground,72196 H2_overground,72197 H2_overground,72198 H2_overground,72199 H2_overground,72200 H2_overground,72201 H2_overground,72202 H2_overground,72203 H2_overground,72204 H2_overground,72205 H2_overground,72206 H2_overground,72207 H2_overground,72208 H2_overground,72209 H2_overground,72210 H2_overground,72211 H2_overground,72212 H2_overground,72213 H2_overground,72553 central_heat_store,72554 central_heat_store,72555 central_heat_store,72556 central_heat_store,72557 central_heat_store,72558 central_heat_store,72559 central_heat_store,72560 central_heat_store,72561 central_heat_store,72562 central_heat_store,72563 central_heat_store,72564 central_heat_store,72565 central_heat_store,72566 central_heat_store,72567 central_heat_store,72568 central_heat_store,72569 central_heat_store,72570 central_heat_store,72571 central_heat_store,72572 central_heat_store,72573 central_heat_store,72574 central_heat_store,72575 central_heat_store,72576 central_heat_store,72577 central_heat_store,72578 central_heat_store,72579 central_heat_store,72580 central_heat_store,72581 central_heat_store,72582 central_heat_store,72583 central_heat_store,72584 central_heat_store,72585 central_heat_store,72586 central_heat_store,72587 central_heat_store,72588 central_heat_store,72589 central_heat_store,72590 central_heat_store,72591 central_heat_store,72592 central_heat_store,72593 central_heat_store,72594 central_heat_store,72595 central_heat_store,72596 central_heat_store,72597 central_heat_store,72598 central_heat_store,72599 central_heat_store,72600 central_heat_store,72601 central_heat_store,72602 central_heat_store,72603 central_heat_store,72604 central_heat_store,72605 central_heat_store,72606 central_heat_store,72607 central_heat_store,72608 central_heat_store,72609 central_heat_store,72610 central_heat_store,72611 central_heat_store,72612 central_heat_store,72613 central_heat_store,72614 central_heat_store,72615 central_heat_store,72616 central_heat_store,72617 central_heat_store,72618 central_heat_store,72619 central_heat_store,72620 central_heat_store,72621 central_heat_store,72622 central_heat_store,72623 central_heat_store,72624 central_heat_store,72625 central_heat_store,72626 central_heat_store,72627 central_heat_store,72628 central_heat_store,72629 central_heat_store,72630 central_heat_store,72631 central_heat_store,72632 central_heat_store,72633 central_heat_store,72634 central_heat_store,72635 central_heat_store,72636 central_heat_store,72637 central_heat_store,72638 central_heat_store,72639 central_heat_store,72640 central_heat_store,72641 central_heat_store,72642 central_heat_store,72643 central_heat_store,72644 central_heat_store,72645 central_heat_store,72646 central_heat_store,72647 central_heat_store,72648 central_heat_store,72649 central_heat_store,72650 central_heat_store,72651 central_heat_store,72652 central_heat_store,72653 central_heat_store,72654 central_heat_store,72655 central_heat_store,72656 central_heat_store,72657 central_heat_store,72658 central_heat_store,72659 central_heat_store,72660 central_heat_store,72661 central_heat_store,72662 central_heat_store,72663 central_heat_store,72664 central_heat_store,72665 central_heat_store,72666 central_heat_store,72667 central_heat_store,72668 central_heat_store,72669 central_heat_store,72670 central_heat_store,72671 central_heat_store,72672 central_heat_store,72673 central_heat_store,72674 central_heat_store,72675 central_heat_store,72676 central_heat_store,72677 central_heat_store,72678 central_heat_store,72679 central_heat_store,72680 central_heat_store,72681 central_heat_store,72682 central_heat_store,72683 central_heat_store,72684 central_heat_store,72685 central_heat_store,72686 central_heat_store,72687 central_heat_store,72688 central_heat_store,72689 central_heat_store,72690 central_heat_store,72691 central_heat_store,72692 central_heat_store,72693 central_heat_store,72694 central_heat_store,72695 central_heat_store,72696 central_heat_store,72697 central_heat_store,72698 central_heat_store,72699 central_heat_store,72700 central_heat_store,72701 central_heat_store,72702 central_heat_store,72703 central_heat_store,72704 central_heat_store,72705 central_heat_store,72706 central_heat_store,72707 central_heat_store,72708 central_heat_store,72709 central_heat_store,72710 central_heat_store,72711 central_heat_store,72712 central_heat_store,72713 central_heat_store,72714 central_heat_store,72715 central_heat_store,72716 central_heat_store,72717 central_heat_store,72718 central_heat_store,72719 central_heat_store,72720 central_heat_store,72721 central_heat_store,72722 central_heat_store,72723 central_heat_store,72724 central_heat_store,72725 central_heat_store,72726 central_heat_store,72727 central_heat_store,72728 central_heat_store,72729 central_heat_store,72730 central_heat_store,72731 central_heat_store,72732 central_heat_store,72733 central_heat_store,72734 central_heat_store,72735 central_heat_store,72736 central_heat_store,72737 central_heat_store,72738 central_heat_store,72739 central_heat_store,72740 central_heat_store,72741 central_heat_store,72742 central_heat_store,72743 central_heat_store,72744 central_heat_store,72745 central_heat_store,72746 central_heat_store,72747 central_heat_store,72748 central_heat_store,72749 central_heat_store,72750 central_heat_store,72751 central_heat_store,72752 central_heat_store,72753 central_heat_store,72754 central_heat_store,72755 central_heat_store,72756 central_heat_store,72757 central_heat_store,72758 central_heat_store,72759 central_heat_store,72760 central_heat_store,72761 central_heat_store,72762 central_heat_store,72763 central_heat_store,72764 central_heat_store,72765 central_heat_store,72766 central_heat_store,72767 central_heat_store,72768 central_heat_store,72769 central_heat_store,72770 central_heat_store,72771 central_heat_store,72772 central_heat_store,72773 central_heat_store,72774 central_heat_store,72775 central_heat_store,72776 central_heat_store,72777 central_heat_store,72778 central_heat_store,72779 central_heat_store,72780 central_heat_store,72781 central_heat_store,72782 central_heat_store,72783 central_heat_store,72784 central_heat_store,72785 central_heat_store
0,-0.3187516070548431,0.7873072774699846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.2845135792553078,0.7928589092542333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.2746969404823081,0.7978070516296787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.2627201105134064,0.8026804322798573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
