name,scn_name,bus,carrier,p_nom,p_min_pu,p_max_pu,marginal_cost,efficiency,committable,start_up_cost,min_up_time,min_down_time,up_time_before,ramp_limit_start_up,ramp_limit_shut_down,e_nom_max,control,ramp_limit_up,weight,p_nom_opt
36 run_of_river,eGon2035,4,run_of_river,549.2491291520507,0.0,0.6500000000000001,0.0072735359833574304,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,549.2491291520507,549.2491291520507
36 solar,eGon2035,4,solar,755.8944531313933,0.0,1.0,0.016267711688536014,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,755.8944531313933,755.8944531313933
36 solar_rooftop,eGon2035,4,solar_rooftop,707.5974248791601,0.0,1.0,0.017941152332775837,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,707.5974248791601,707.5974248791601
36 wind_onshore,eGon2035,4,wind_onshore,119.20212863334511,0.0,1.0,1.3086464326881506,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,119.20212863334511,119.20212863334511
36178 load shedding,,36178,load shedding,3373830.0,0.0,1.0,10000.007287558841,1.0,False,0.0,0,0,1,1.0,1.0,0.0,Slack,,3373830.0,3373830.0
36264 load shedding,,36178,load shedding,6037380.0,0.0,1.0,10000.007284105497,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,6037380.0,6037380.0
36268 load shedding,,36178,load shedding,4616820.0,0.0,1.0,10000.008891530211,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,4616820.0,4616820.0
36278 load shedding,,36178,load shedding,4528035.0,0.0,1.0,10000.007471926187,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,4528035.0,4528035.0
36280 load shedding,,36178,load shedding,4528035.0,0.0,1.0,10000.007248637441,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,4528035.0,4528035.0
36284 load shedding,,36178,load shedding,6925230.0,0.0,1.0,10000.00913198329,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,6925230.0,6925230.0
36300 load shedding,,36178,load shedding,3373830.0,0.0,1.0,10000.007736963134,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,3373830.0,3373830.0
36308 load shedding,,36178,load shedding,4439250.0,0.0,1.0,10000.008545133152,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,4439250.0,4439250.0
